"Name","URL","Geographical Scope","Sector","Data Formats","Description"
"Aberdeenshire Council Open Data","https://www.aberdeenshire.gov.uk/online/open-data/","regional","OGD","CSV, RSS, KML","Aberdeenshire Council publishes various Open Data feeds for the use of the public and other organisations. Unless stated otherwise Open Data feeds are released under the Open Government Licence."
"Dundee Open Data Portal","https://data.dundeecity.gov.uk","city","OGD","CSV, GeoJSON, XML, XLS","Contains 22 datasets provided by seven different organisations."
"City of Edinburgh Council Open Data Store","http://www.edinburghopendata.info","city","OGD","CSV, XLS, JSON, GeoJSON","The City of Edinburgh Council's open data store."
"City of Edinburgh Council GitHub Repository","https://github.com/edinburghcouncil/datasets","city","OGD","CSV, XLS, JSON, GeoJSON","Last updated in 2015"
"Fife KnowFife Dataset","https://knowfife.fife.gov.uk","regional","OGD","CSV,XLS,XML","The data provides access to a broad range of key social, economic and health and wellbeing indicators for partners and the public in Fife. A range of data themes can be viewed at a number of geographical levels, from Data Zone to Fife Local Authority."
"Open Glasgow Data Portal","https://data.glasgow.gov.uk","city","OGD","CSV, XLS, JSON, GeoJSON, XML","Glasgow City Council data is now open by default. Datasets are categorized into Health, Living, Environment, Transportation, Energy, Geography, Demographics, Economy, Active Travel, and Public Safety."
"Glasgow Open Data datasets via Urban Big Data Centre","http://ubdc.gla.ac.uk/dataset?organization=glasgow-city-council","regional","OGD","CSV","The UBDC has been established in order to support a wide range of users conducting research on urban data and urban issues."
"Perth and Kinross Open Data","http://opendata-pkc.opendata.arcgis.com","regional","spatial","KML, SHAPE","The Perth and Kinross GIS Open Data Site aims to provide map based data for commercial and non-commercial use. "
"South Ayrshire Open Data","http://www.south-ayrshire.gov.uk/opendata/","regional","OGD","CSV, RSS, XML","Data created by South Ayrshire Council for licence under an Open Government Licence for public sector information."
"Local Government Boundary Commission for Scotland: Council Areas and Wards","http://www.lgbc-scotland.gov.uk/maps/datafiles/index_1995_on.asp","national","OGD","SHAPE","Data files showing past unitary council areas and electoral wards. Licensed under One Scotland Mapping Agreement."
"Scottish Statistics","http://statistics.gov.scot","national","OGD","JSON, CSV, api/sparql","A range of official statistics about Scotland for information and re-use. The site hosts over 200 Linked Data datasets organised by theme, organisation, or geography. This replaces the earlier Scottish Neighbourhood Statistics Site."
"Scottish Government Data Lab space","http://labs.data.scotland.gov.uk","national",,"XLS","Experimental service that allows download of Scottish Government spreadsheets. Licencing not specified."
"Scotland's Census Data","http://www.scotlandscensus.gov.uk/ods-web/data-warehouse.html","national","OGD","CSV","The Data Warehouse is provided for users who want to download all census data.  It contains all published Standard Outputs in csv format."
"Scottish Spatial Data Infrastructure Metadata Portal","https://www.spatialdata.gov.scot","national","spatial","XML","Scotland’s catalogue of spatial data. Here you can find, share and reuse spatial data provided by Scottish public sector organisations. You can explore the data by INSPIRE theme, topic, organisation and geography. "
"Scottish Environment Statistics Online","http://www.gov.scot/seso/","national","spatial","XLS","Covers Climate Change and the Ozone Layer, Air Quality, Noise Pollution, Inland Water Quality and Use, Coastal and Marine Waters, Waste and Recycling, Radioactivity, Land, Conservation, Biodiversity"
"Scottish Historic Environment","http://portal.historicenvironment.scot/spatialdownloads","national","spatial","SHAPE","Designated heritage GIS spatial datasets"
"NHS Information Services Division","https://isdscotland.scot.nhs.uk/","national","health","XLS","ISD provides health information, health intelligence, statistical services and advice that support the NHS in progressing quality improvement in health and care and facilitates robust planning and decision making."
"SEPA Linked Data","http://data.sepa.org.uk","national","environment","rdf+xml,  JSON,  CSV,  api/sparql","Data that was previously published under the reporting requirements of the Water Framework Directive. It covers Surface Water Bodies, Ground Water Bodies, River Basin Districts, Sub Basin Districts, Catchments, and Bathing Waters."
"Scottish Natural Heritage: Natural Spaces","https://gateway.snh.gov.uk/natural-spaces","national","environment","SHAPE, GML, KML","Natural Spaces provides an online data download facility giving access to a wide range of datasets including protected areas, habitats and species, landscape, open space and access. (Requires registration)"
"Scottish Air Quality","http://www.scottishairquality.co.uk/data.php","national","environment","CSV","Data relating to Air Quality in Scotland from the present day back to 1986; concentration data and statistics from the air quality monitoring sites operated by Defra, the Scottish Government and Local Authorities. Data only obtainable via an automated email service."
"Spatial Data Hub","https://www.spatialhub.scot/get-data/","national","spatial","SHAPE","The Spatial Hub is a cloud-hosted data infrastructure with a web portal for the upload, download and consumption of Scottish spatial data."
"Traffic Scotland","http://www.trafficscotland.org/rss/","national","transport","RSS","RSS feeds covering current incidents on the road network e.g. accidents; roadworks currently being undertaken on the road network; and planned roadworks."
"National Library of Scotland Historic Maps API","http://maps.nls.uk/projects/api/index.html","national","spatial","WMTS","The API provides access to map tiles derived from out-of-copyright Ordnance Survey maps, dating from the 1920s to the 1940s."
"USMART Data Publication Platform","https://usmart.io/","mixed","OGD",,"Platform for hosting datasets from multiple organisations, including Angus Council, Crichton Institute, Dumfries and Galloway Council, North Lanarkshire Council, Scottish Natural Heritage, Scottish Water"
"CultureHack Scotland 2011","http://www.welcometosync.com/hacks/2011/about/data","national","GLAM",,"18 datasets assembled for the 2011 Culture Hack Scotland."
"Edinburgh Festivals API","http://api.festivalslab.com","national","GLAM",,"Listings data for 12 Edinburgh Festivals, 2012 to present. Requires registration for API Key."
"University of Edinburgh Datashare","http://datashare.is.ed.ac.uk",,"research",,"Edinburgh DataShare is an online digital repository of multi-disciplinary research datasets produced at the University of Edinburgh, hosted by the Data Library in Information Services."
