Name,URL,Level,Sector,Access,Comments
Glasgow,http://data.glasgow.gov.uk,city,,CSV,
Edinburgh,https://github.com/edinburghcouncil/datasets,city,,CSV,
Aberdeen Council,http://www.aberdeencity.gov.uk/open_data,city,,CSV,
Aberdeenshire Council,http://www.aberdeenshire.gov.uk/opendata/,regional,,"RSS, KML",
South Ayrshire,http://www.south-ayrshire.gov.uk/opendata/,regioinal,,"CSV, RSS, XML",
LGBC historical council areas and wards,http://www.lgbc-scotland.gov.uk/maps/datafiles/index_1995_on.asp,national,,ESRI shapefiles,One Scotland Mapping Agreement
Scottish Neighourhood Statistics,http://www.sns.gov.uk/Downloads/DownloadHome.aspx,national,,"CSV, XML",
Scottish Neighourhood Statistics,http://www.opendatascotland.org,national,,SPARQL endpoint,
Scottish Government Data Lab space,http://labs.data.scotland.gov.uk,national,,,Experimental service
TellMeScotland,http://www.tellmescotland.gov.uk,national,,,
MSP Allowances,http://mspallowances.scottish.parliament.uk,national,,Form-based download,
SEPA Linked Data,http://data.sepa.org.uk,national,environment,,
Air Quality,http://www.scottishairquality.co.uk/data.php,national,environment,,
CultureHack Scotland 2011,http://www.welcometosync.com/hacks/2011/about/data,national,GLAM,,
CultureHack Scotland 2013,http://chs2013.herokuapp.com/docs,national,GLAM,,
Edinburgh Festivals API,http://api.festivalslab.com,national,GLAM,,
University of Edinburgh Datashare,http://datashare.is.ed.ac.uk,national,research,,
Placemakr,http://placemakr.org.uk/,,,,FOI data
Data tagged with 'Scotland' on the datahub,http://datahub.io/dataset?q=scotland,national,,,mostly obsolete
Scotland's Data,https://sites.google.com/site/scotlandsdata/dataandvocabularies,national,,,mostly obsolete
